province_th,province_en,lat,lon,month,area_rai,year,crop_season,month_num,date
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,21,2015,off_season,4,2015-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2015,off_season,5,2015-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2015,off_season,6,2015-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,0,2015,off_season,7,2015-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,0,2015,off_season,8,2015-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,0,2015,off_season,9,2015-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2015,off_season,10,2015-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2015,off_season,11,2015-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2015,off_season,12,2015-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2016,off_season,1,2016-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,22,2016,off_season,2,2016-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,134,2016,off_season,3,2016-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2016,off_season,4,2016-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2016,off_season,5,2016-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2016,off_season,6,2016-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,0,2016,off_season,7,2016-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,0,2016,off_season,8,2016-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,0,2016,off_season,9,2016-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2016,off_season,10,2016-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2016,off_season,11,2016-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2016,off_season,12,2016-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2017,off_season,1,2017-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,221,2017,off_season,2,2017-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,1015,2017,off_season,3,2017-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2017,off_season,4,2017-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2017,off_season,5,2017-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2017,off_season,6,2017-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,0,2017,off_season,7,2017-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,0,2017,off_season,8,2017-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,0,2017,off_season,9,2017-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2017,off_season,10,2017-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2017,off_season,11,2017-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2017,off_season,12,2017-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2018,off_season,1,2018-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,346,2018,off_season,2,2018-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,1319,2018,off_season,3,2018-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,228,2018,off_season,4,2018-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2018,off_season,5,2018-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2018,off_season,6,2018-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,0,2018,off_season,7,2018-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,0,2018,off_season,8,2018-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,0,2018,off_season,9,2018-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2018,off_season,10,2018-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2018,off_season,11,2018-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2018,off_season,12,2018-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2019,off_season,1,2019-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,523,2019,off_season,2,2019-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,897,2019,off_season,3,2019-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,149,2019,off_season,4,2019-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2019,off_season,5,2019-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2019,off_season,6,2019-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,0,2019,off_season,7,2019-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,0,2019,off_season,8,2019-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,0,2019,off_season,9,2019-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2019,off_season,10,2019-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2019,off_season,11,2019-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2019,off_season,12,2019-12-01
สระบุรี,Saraburi,14.55531481,100.8865463,Jan,0,2015,in_season,1,2015-01-01
สระบุรี,Saraburi,14.55531481,100.8865463,Feb,0,2015,in_season,2,2015-02-01
สระบุรี,Saraburi,14.55531481,100.8865463,Mar,0,2015,in_season,3,2015-03-01
สระบุรี,Saraburi,14.55531481,100.8865463,Apr,0,2015,in_season,4,2015-04-01
สระบุรี,Saraburi,14.55531481,100.8865463,May,37886,2015,in_season,5,2015-05-01
สระบุรี,Saraburi,14.55531481,100.8865463,Jun,38188,2015,in_season,6,2015-06-01
สระบุรี,Saraburi,14.55531481,100.8865463,Jul,108993,2015,in_season,7,2015-07-01
สระบุรี,Saraburi,14.55531481,100.8865463,Aug,87824,2015,in_season,8,2015-08-01
สระบุรี,Saraburi,14.55531481,100.8865463,Sep,20593,2015,in_season,9,2015-09-01
สระบุรี,Saraburi,14.55531481,100.8865463,Oct,9358,2015,in_season,10,2015-10-01
สระบุรี,Saraburi,14.55531481,100.8865463,Nov,0,2015,in_season,11,2015-11-01
สระบุรี,Saraburi,14.55531481,100.8865463,Dec,0,2015,in_season,12,2015-12-01
สระบุรี,Saraburi,14.55531481,100.8865463,Jan,0,2016,in_season,1,2016-01-01
สระบุรี,Saraburi,14.55531481,100.8865463,Feb,0,2016,in_season,2,2016-02-01
